block,pathway_size,cor_structure,method,calibration,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se,mean_p,median_p
A_null,25,LD_moderate,tfisher,analytic,0.1578093231414245,0.013784540318576873,0.126,0.01484075469779081,0.09,0.012798437404620925,0.6580523019497191,0.7887437608489194
A_null,25,LD_moderate,tfisher,mvn,1.1679984327604347,0.07740534759805132,0.068,0.011258419071965654,0.008,0.003983967871356395,0.4730589410589411,0.4660339660339661
A_null,25,LD_moderate,minp,analytic,0.534272505640621,0.0692905368723107,0.052,0.00992935043192655,0.006,0.0034536936748935914,0.5926353524064406,0.6220057316766746
A_null,25,LD_moderate,minp,mvn,1.1420542719486957,0.09224961128215704,0.066,0.011103512957618413,0.012,0.004869496893930624,0.4827272727272727,0.471028971028971
A_null,25,LD_moderate,stouffer,analytic,1.2237773642325656,0.33242986040280165,0.266,0.019760769215797242,0.202,0.01795527777562909,0.4803044007121954,0.45557851523263665
A_null,25,LD_moderate,stouffer,mvn,1.16016622044662,0.10204399174149921,0.066,0.011103512957618413,0.012,0.004869496893930624,0.4742257742257742,0.4675324675324675
A_null,25,LD_moderate,omnibus,analytic,0.6249336774798744,0.1404122689109801,0.224,0.018645321128905237,0.148,0.015880554146502572,0.5364577088217451,0.5938939837872166
A_null,25,LD_moderate,omnibus,mvn,1.3074999054798058,0.1299920911004081,0.066,0.011103512957618413,0.008,0.003983967871356395,0.47234165834165837,0.4405594405594405
A_null,25,LD_strong,acat,analytic,0.999760504688342,0.1293077334610653,0.064,0.010945684080951725,0.008,0.003983967871356395,0.5057082646212339,0.5000520451059332
A_null,25,LD_strong,acat,mvn,1.0235051829515305,0.09780643762884482,0.058,0.010453324829928513,0.004,0.002822764602300376,0.5029670329670329,0.495004995004995
A_null,25,LD_strong,fisher,analytic,0.24355437833460386,0.09620001919443061,0.234,0.018933779337469845,0.186,0.017401379255679705,0.5752618600938514,0.739233286975569
A_null,25,LD_strong,fisher,mvn,1.0914781692274047,0.11961124514021647,0.07,0.011410521460476731,0.01,0.0044497190922573975,0.48705094905094903,0.48151848151848153
A_null,25,LD_strong,tfisher,analytic,0.0476144731263693,0.004665319319436375,0.094,0.013050976974924139,0.086,0.012538261442480771,0.7438683014448104,0.8829910108963944
A_null,25,LD_strong,tfisher,mvn,1.103958643606638,0.08392163186242142,0.064,0.010945684080951725,0,0,0.4965314685314685,0.4785214785214785
A_null,25,LD_strong,minp,analytic,0.04390870735868075,0.014686340716700153,0.022,0.006559878047646922,0.004,0.002822764602300376,0.750176412944392,0.887647037672177
A_null,25,LD_strong,minp,mvn,1.1190789824746266,0.10121196218241987,0.048,0.009559916317625379,0.006,0.0034536936748935914,0.48703296703296706,0.4785214785214785
A_null,25,LD_strong,stouffer,analytic,1.3176161512209492,0.51498970902026,0.336,0.02112363605064242,0.262,0.01966499427917537,0.48386884558117027,0.43884606293924444
A_null,25,LD_strong,stouffer,mvn,1.12415361624088,0.12087659240910993,0.062,0.010784804124322332,0,0,0.4894985014985015,0.484015984015984
A_null,25,LD_strong,omnibus,analytic,0.09991574554697073,0.0373849779036847,0.264,0.019713142824014644,0.202,0.01795527777562909,0.6017567650291938,0.8311807948916814
A_null,25,LD_strong,omnibus,mvn,1.0989528326155733,0.10184018930548329,0.066,0.011103512957618413,0.008,0.003983967871356395,0.49168031968031967,0.48051948051948057
A_null,25,LD_independent,acat,analytic,0.9581941766779275,0.12263833625320313,0.04,0.008763560920082658,0.008,0.003983967871356395,0.5125861443973215,0.509099558961717
A_null,25,LD_independent,acat,mvn,0.8861352876252231,0.10500236538064726,0.046,0.00936845771725528,0.006,0.0034536936748935914,0.527968031968032,0.5294705294705294
A_null,25,LD_independent,fisher,analytic,1.1221297001799355,0.13670303092036762,0.058,0.010453324829928513,0.002,0.0019979989989987483,0.496139783459336,0.47492773981038694
A_null,25,LD_independent,fisher,mvn,1.12415361624088,0.13284228311058072,0.056,0.010282412168358162,0.002,0.0019979989989987483,0.49938461538461537,0.4755244755244755
A_null,25,LD_independent,tfisher,analytic,0.25551783147990065,0.017001654084714497,0.074,0.011706750189527408,0.032,0.0078709592807992609,0.649118901466882,0.733144039065877
A_null,25,LD_independent,tfisher,mvn,1.0449997720803077,0.09800206536097883,0.044,0.009172131704244111,0.002,0.0019979989989987483,0.5024575424575425,0.4905094905094905
A_null,25,LD_independent,minp,analytic,1.006798506826028,0.11522998465424353,0.044,0.009172131704244111,0.008,0.003983967871356395,0.5015787121322748,0.498547293009834
A_null,25,LD_independent,minp,mvn,1.0939640642648425,0.12938498302610624,0.052,0.00992935043192655,0.006,0.0034536936748935914,0.5015184815184816,0.4805194805194805
A_null,25,LD_independent,stouffer,analytic,1.0546856802963605,0.16165833912999622,0.058,0.010453324829928513,0.008,0.003983967871356395,0.4920758639459611,0.4885063104621593
A_null,25,LD_independent,stouffer,mvn,1.0140560327233665,0.13996464456206803,0.04,0.008763560920082658,0.008,0.003983967871356395,0.5013266733266734,0.497002997002997
A_null,25,LD_independent,omnibus,analytic,0.654249228322797,0.09081396973104938,0.062,0.010784804124322332,0.02,0.006260990336999411,0.5372006153463317,0.5853645892938646
A_null,25,LD_independent,omnibus,mvn,0.9677596966611742,0.12509321135081095,0.04,0.008763560920082658,0.002,0.0019979989989987483,0.5102977022977023,0.5074925074925075
A_null,50,LD_moderate,acat,analytic,1.0018987156960626,0.14983421918990192,0.072,0.011559930795640603,0.012,0.004869496893930624,0.4983210502284733,0.49959510813309266
A_null,50,LD_moderate,acat,mvn,1.0377997365295637,0.10892688391131931,0.062,0.010784804124322332,0.01,0.0044497190922573975,0.4992827172827173,0.492007992007992
A_null,50,LD_moderate,fisher,analytic,0.5879429354606539,0.2625110300364036,0.202,0.01795527777562909,0.122,0.014636666287102402,0.5420613801488378,0.6050308278900832
A_null,50,LD_moderate,fisher,mvn,0.9723345204516036,0.1663792025184632,0.052,0.00992935043192655,0.004,0.002822764602300376,0.506053946053946,0.505994005994006
A_null,50,LD_moderate,tfisher,analytic,0.1290751848229084,0.013913224684024342,0.142,0.015609996796924718,0.096,0.013174520864152897,0.6388660208423023,0.8085309338353377
A_null,50,LD_moderate,tfisher,mvn,0.9384953990209863,0.09853742861033166,0.052,0.00992935043192655,0.016,0.005611416933360059,0.5097342657342657,0.517982017982018
A_null,50,LD_moderate,minp,analytic,0.4328019311629535,0.06090791218115173,0.056,0.010282412168358162,0.012,0.004869496893930624,0.5973933753405433,0.6572373263278215
A_null,50,LD_moderate,minp,mvn,0.9654838809429256,0.08730115206120577,0.06,0.010620734437881401,0.012,0.004869496893930624,0.5076063936063936,0.5074925074925075
A_null,50,LD_moderate,stouffer,analytic,0.9812101603641361,0.2446243954961204,0.242,0.019153902996517445,0.168,0.016719808611344807,0.5003694018163175,0.5041248933633584
A_null,50,LD_moderate,stouffer,mvn,0.9930264147396488,0.11912561106189717,0.05,0.009746794344808964,0.002,0.0019979989989987483,0.5034285714285714,0.5074925074925075
A_null,50,LD_moderate,omnibus,analytic,0.32524986140283085,0.11957482547806768,0.224,0.018645321128905237,0.15,0.015968719422671314,0.5605857793656394,0.7004849957161787
A_null,50,LD_moderate,omnibus,mvn,0.8925664166172428,0.12300258501022432,0.052,0.00992935043192655,0.016,0.005611416933360059,0.5086473526473526,0.523976023976024
A_null,50,LD_strong,acat,analytic,1.2541390243574702,0.1394716801502271,0.06,0.010620734437881401,0.008,0.003983967871356395,0.47872140387446144,0.4500491855589838
A_null,50,LD_strong,acat,mvn,1.2651796275239042,0.12234236347273375,0.052,0.00992935043192655,0.008,0.003983967871356395,0.47164035964035966,0.44805194805194803
A_null,50,LD_strong,fisher,analytic,0.3782288358617489,0.17518120844278195,0.288,0.020251222185339826,0.224,0.018645321128905237,0.5461805577147739,0.6782843096794238
A_null,50,LD_strong,fisher,mvn,1.1706511238316273,0.10601284992900104,0.044,0.009172131704244111,0.006,0.0034536936748935914,0.4828811188811189,0.47352647352647353
A_null,50,LD_strong,tfisher,analytic,0.036299445245391214,0.005565654153422386,0.16,0.016395121225535356,0.14,0.01551773179301666,0.7103961316687085,0.8977481027669644
A_null,50,LD_strong,tfisher,mvn,1.0741781362885912,0.10101980476442596,0.04,0.008763560920082658,0,0,0.4858101898101898,0.48451548451548454
A_null,50,LD_strong,minp,analytic,0.04284917049779828,0.01286648160551681,0.03,0.00762889244910426,0.006,0.0034536936748935914,0.73747137386119,0.8889621680766071
A_null,50,LD_strong,minp,mvn,1.1089815620282917,0.09719908812037326,0.068,0.011258419071965654,0.008,0.003983967871356395,0.4856923076923077,0.482017982017982
A_null,50,LD_strong,stouffer,analytic,1.6557166273215502,0.4710996091259222,0.344,0.02124448163641561,0.276,0.01999119806314769,0.47477851414838745,0.3856407693760106
A_null,50,LD_strong,stouffer,mvn,1.3017842596196452,0.09480683453810239,0.046,0.00936845771725528,0,0,0.48207792207792205,0.4500499500499501
A_null,50,LD_strong,omnibus,analytic,0.10855923809244046,0.08814738988153815,0.326,0.020963015050321363,0.27,0.019854470529329156,0.5677932711309175,0.824132452459137
A_null,50,LD_strong,omnibus,mvn,1.2104650495035354,0.11465302259034138,0.044,0.009172131704244111,0.006,0.0034536936748935914,0.4808931068931069,0.46053946053946054
A_null,50,LD_independent,acat,analytic,1.0673927272606554,0.11991892876445799,0.06,0.010620734437881401,0.012,0.004869496893930624,0.491637675660495,0.48589879567321204
A_null,50,LD_independent,acat,mvn,1.0164103112365412,0.11647197315823708,0.052,0.00992935043192655,0.006,0.0034536936748935914,0.4983916083916084,0.4965034965034965
A_null,50,LD_independent,fisher,analytic,1.0523701362643263,0.11012270636166961,0.054,0.010107818755794942,0.01,0.0044497190922573975,0.4838749803948851,0.48898855101836325
A_null,50,LD_independent,fisher,mvn,1.0498297943283659,0.08731918384998451,0.042,0.008970618707759236,0.008,0.003983967871356395,0.4925254745254745,0.4895104895104895
A_null,50,LD_independent,tfisher,analytic,0.25508132770353614,0.04852687277087381,0.094,0.013050976974924139,0.042,0.008970618707759236,0.5886473589906608,0.733364988170299
A_null,50,LD_independent,tfisher,mvn,1.0692736240653617,0.13224135098810086,0.046,0.00936845771725528,0.01,0.0044497190922573975,0.4966213786213786,0.48651348651348647
A_null,50,LD_independent,minp,analytic,0.9450443713479004,0.10349589603296441,0.054,0.010107818755794942,0.012,0.004869496893930624,0.49985741226156705,0.5120212883246371
A_null,50,LD_independent,minp,mvn,0.9930264147396488,0.09867156179803244,0.052,0.00992935043192655,0.008,0.003983967871356395,0.5048751248751249,0.5014985014985015
A_null,50,LD_independent,stouffer,analytic,1.005874169901978,0.09216683004030964,0.056,0.010282412168358162,0.004,0.002822764602300376,0.48715450858820464,0.49874365550246885
A_null,50,LD_independent,stouffer,mvn,0.9883970184111679,0.10694761889453865,0.05,0.009746794344808964,0.004,0.002822764602300376,0.49233566433566434,0.5024975024975025
A_null,50,LD_independent,omnibus,analytic,0.7525944316227245,0.08848841247879098,0.074,0.011706750189527408,0.036,0.008331146379700696,0.5165376351142534,0.5584581072627339
A_null,50,LD_independent,omnibus,mvn,1.0668296993128132,0.10453087545339952,0.042,0.008970618707759236,0.01,0.0044497190922573975,0.494997002997003,0.48601398601398604
